id,ROI,ROI_rename,ROI_abbr
1,SUPERIOR_PARIETAL_LOBULE_left,Left Superior Parietal Lobule,L. Sup. Parietal Lobule
2,CINGULATE_GYRUS_left,Left Cingulate Gyrus,L. Cingulate Gyrus
3,SUPERIOR_FRONTAL_GYRUS_left,Left Superior Frontal Gyrus,L. Sup. Front. Gyrus
4,MIDDLE_FRONTAL_GYRUS_left,Left Middle Frontal Gyrus,L. Mid. Front. Gyrus
5,INFERIOR_FRONTAL_GYRUS_left,Left Inferior Frontal Gyrus,L. IFG
6,PRECENTRAL_GYRUS_left,Left Precentral Gyrus,L. Precentral Gyrus
7,POSTCENTRAL_GYRUS_left,Left Postcentral Gyrus,L. Postcent. Gyrus
8,ANGULAR_GYRUS_left,Left Angular Gyrus,L. Angular Gyrus
9,PRE-CUNEUS_left,Left Precuneus,L. Precuneus
10,CUNEUS_left,Left Cuneus,L. Cuneus
11,LINGUAL_GYRUS_left,Left Lingual Gyrus,L. Lingual Gyrus
12,FUSIFORM_GYRUS_left,Left Fusiform Gyrus,L. Fusiform Gyrus
13,PARAHIPPOCAMPAL_GYRUS_left,Left Parahippocampal Gyrus,L. Parahippocampal Gyrus
14,SUPERIOR_OCCIPITAL_GYRUS_left,Left Superior Occipital Gyrus,L. Sup. Occipital Gyrus
15,INFERIOR_OCCIPITAL_GYRUS,Left Inferior Occipital Gyrus,L. Inf. Occipital Gyrus
16,MIDDLE_OCCIPITAL_GYRUS,Left Middle Occipital Gyrus,L. Mid. Occipital Gyrus
17,ENTORHINAL_AREA,Left Entorhinal Area,L. Entorhinal Area
18,SUPERIOR_TEMPORAL_GYRUS,Left Superior Temporal Gyrus,L. Sup. Temp. Gyrus
19,INFERIOR_TEMPORAL_GYRUS,Left Inferior Temporal Gyrus,L. Inf. Temp. Gyrus
20,MIDDLE_TEMPORAL_GYRUS,Left Middle Temporal Gyrus,L. Mid. Temp. Gyrus
21,LATERAL_FRONTO-ORBITAL_GYRUS,Left Lateral Fronto-orbital Gyrus,L. Lat. Forb. Gyrus
22,MIDDLE_FRONTO-ORBITAL_GYRUS,Left Middle Fronto-orbital Gyrus,L. Mid. Forb. Gyrus
23,SUPRAMARGINAL_GYRUS,Left Supramarginal Gyrus,L. Supramarginal Gyrus
24,GYRUS_RECTUS,Left Gyrus Rectus,L. Gyrus Rectus
25,INSULAR,Left Insular,L. Insular
26,AMYGDALA,Left Amygdala,L. Amygdala
27,HIPPOCAMPUS,Left Hippocampus,L. Hippocampus
28,CEREBELLUM,Left Cerebellum,L. Cerebellum
29,Corticospinal_tract_left,Left Corticospinal Tract,L. Corticospinal Tract
30,Inferior_cerebellar_peduncle_left,Left Inferior Cerebellar Peduncle,L. Inf. Cerebellar Peduncle
31,Medial_lemniscus_left,Left Medial Medial Lemniscus,L. Med. Med. Lemniscus
32,Superior_cerebellar_peduncle_left,Left Superior Cerebellar Peduncle,L. Sup. Cerebellar Peduncle
33,Cerebral_peduncle_left,Left Cerebral Peduncle,L. Cerebral Peduncle
34,Anterior_limb_of_internal_capsule_left,Left Anterior Limb of Internal Capsule,L. Ant. Limb  Int. Capsule
35,Posterior_limb_of_internal_capsule_left,Left Posterior Limb of Internal Capsule,L. Post. Limb  Int. Capsule
36,Posterior_thalamic_radiation_left,Left Posterior Thalamic Radiation,L. Post. Thalamic Radiation
37,Anterior_corona_radiata_left,Left Anterior Corona Radiata,L. Ant. Corona Radiata
38,Superior_corona_radiata_left,Left Superior Corona Radiata,L. Sup. Corona Radiata
39,Posterior_corona_radiata_left,Left Posterior Corona Radiata,L. Post. Corona Radiata
40,Cingulum_(cingulate_gyrus)_left,Left Cingulum (Cingulate Gyrus),L. Cing. (Cingulate Gyrus)
41,Cingulum_(hippocampus)_left,Left Cingulum (Hippocampus),L. Cing. (Hippocampus)
42,Fornix(cres)_Stria_terminalis_left,Left Fornix(cres) Stria Terminalis,L. Fornix(cres) ST
43,Superior_longitudinal_fasciculus_left,Left Superior Longitudinal Fasciculus,L. Sup. Long. Fasciculus
44,Superior_fronto-occipital_fasciculus_left,Left Superior Fronto-occipital Fasciculus,L. Sup. Focc. Fasciculus
45,Inferior_fronto-occipital_fasciculus_left,Left Inferior Fronto-occipital Fasciculus,L. Inf. Focc. Fasciculus
46,Sagittal_stratum_left,Left Sagittal Stratum,L. Sagittal Stratum
47,External_capsule_left,Left External Capsule,L. External Capsule
48,Uncinate_fasciculus_left,Left Uncinate Fasciculus,L. Uncinate Fasciculus
49,Pontine_crossing_tract_left,Left Pontine Crossing Tract,L. Pontine Crossing Tract
50,Middle_cerebellar_peduncle_left,Left Middle Cerebellar Peduncle,L. Mid. Cerebellar Peduncle
51,Fornix_(column_and_body)_left,Left Fornix (Column&Body),L. Fornix (Column&Body)
52,Genu_of_corpus_callosum_left,Left Genu of Corpus Callosum,L. Genu  CC
53,Body_of_corpus_callosum_left,Left Body of Corpus Callosum,L. Body  CC
54,Splenium_of_corpus_callosum_left,Left Splenium of Corpus Callosum,L. Splenium  CC
55,Retrolenticular_part_of_internal_capsule_left,Left Retrolenticular Part of Internal Capsule,L. Rl. Pt.  Int. Capsule
56,Red_Nucleus_left,Left Red Nucleus,L. Red Nucleus
57,Substancia_Nigra_left,Left Substancia Nigra,L. Substancia Nigra
58,Tapatum_left,Left Tapatum,L. Tapatum
59,CAUDATE_NUCLEUS_left,Left Caudate Nucleus,L. Caudate Nucleus
60,PUTAMEN_left,Left Putamen,L. Putamen
61,THALAMUS_left,Left Thalamus,L. Thalamus
62,GLOBUS_PALLIDUS_left,Left Globus Pallidus,L. Globus Pallidus
63,MIDBRAIN_left,Left Midbrain,L. Midbrain
64,PONS_left,Left Pons,L. Pons
65,MEDULLA_left,Left Medulla,L. Medulla
66,SUPERIOR_PARIETAL_WM_left,Left Superior Parietal WM,L. Sup. Parietal WM
67,Cingulum_WM_left,Left Cingulum,L. Cing.
68,SUPERIOR_FRONTAL_WM_left,Left Superior Frontal WM,L. Sup. Front. WM
69,MIDDLE_FRONTAL_WM_left,Left Middle Frontal WM,L. Mid. Front. WM
70,INFERIOR_FRONTAL_WM_left,Left Inferior Frontal WM,L. Inf. Front. WM
71,PRECENTRAL_WM_left,Left Precentral WM,L. Precentral WM
72,POSTCENTRAL_WM_left,Left Postcentral WM,L. Postcent. WM
73,ANGULAR_WM_left,Left Angular WM,L. Angular WM
74,PRE-CUNEUS_WM_left,Left Precuneus WM,L. Precuneus WM
75,CUNEUS_WM_left,Left Cuneus WM,L. Cuneus WM
76,LINGUAL_WM_left,Left Lingual WM,L. Lingual WM
77,FUSIFORM_WM_left,Left Fusiform WM,L. Fusiform WM
78,SUPERIOR_OCCIPITAL_WM_left,Left Superior Occipital WM,L. Sup. Occipital WM
79,INFERIOR_OCCIPITAL_WM_left,Left Inferior Occipital WM,L. Inf. Occipital WM
80,MIDDLE_OCCIPITAL_WM_left,Left Middle Occipital WM,L. Mid. Occipital WM
81,SUPERIOR_TEMPORAL_WM_left,Left Superior Temporal WM,L. Sup. Temp. WM
82,INFERIOR_TEMPORAL_WM_left,Left Inferior Temporal WM,L. Inf. Temp. WM
83,MIDDLE_TEMPORAL_WM_left,Left Middle Temporal WM,L. Mid. Temp. WM
84,LATERAL_FRONTO-ORBITAL_WM_left,Left Lateral Fronto-orbital WM,L. Lat. Forb. WM
85,MIDDLE_FRONTO-ORBITAL_WM_left,Left Middle Fronto-orbital,L. Mid. Forb.
86,SUPRAMARGINAL_WM_left,Left Supramarginal WM,L. Supramarginal WM
87,RECTUS_WM_left,Left Rectus WM,L. Rectus WM
88,CEREBELLUM_WM_left,Left Cerebellum WM,L. Cerebellum WM
89,SUPERIOR_PARIETAL_LOBULE_right,Right Superior Parietal Lobule,R. Sup. Parietal Lobule
90,CINGULATE_GYRUS_right,Right Cingulate Gyrus,R. Cingulate Gyrus
91,SUPERIOR_FRONTAL_GYRUS_right,Right Superior Frontal Gyrus,R. Sup. Front. Gyrus
92,MIDDLE_FRONTAL_GYRUS_right,Right Middle Frontal Gyrus,R. Mid. Front. Gyrus
93,INFERIOR_FRONTAL_GYRUS_right,Right Inferior Frontal Gyrus,R. IFG
94,PRECENTRAL_GYRUS_right,Right Precentral Gyrus,R. Precentral Gyrus
95,POSTCENTRAL_GYRUS_right,Right Postcentral Gyrus,R. Postcent. Gyrus
96,ANGULAR_GYRUS_right,Right Angular Gyrus,R. Angular Gyrus
97,PRE-CUNEUS_right,Right Precuneus,R. Precuneus
98,CUNEUS_right,Right Cuneus,R. Cuneus
99,LINGUAL_GYRUS_right,Right Lingual Gyrus,R. Lingual Gyrus
100,FUSIFORM_GYRUS_right,Right Fusiform Gyrus,R. Fusiform Gyrus
101,PARAHIPPOCAMPAL_GYRUS_right,Right Parahippocampal Gyrus,R. Parahippocampal Gyrus
102,SUPERIOR_OCCIPITAL_GYRUS_right,Right Superior Occipital Gyrus,R. Sup. Occipital Gyrus
103,INFERIOR_OCCIPITAL_GYRUS_right,Right Inferior Occipital Gyrus,R. Inf. Occipital Gyrus
104,MIDDLE_OCCIPITAL_GYRUS_right,Right Middle Occipital Gyrus,R. Mid. Occipital Gyrus
105,ENTORHINAL_AREA_right,Right Entorhinal Area,R. Entorhinal Area
106,SUPERIOR_TEMPORAL_GYRUS_right,Right Superior Temporal Gyrus,R. Sup. Temp. Gyrus
107,INFERIOR_TEMPORAL_GYRUS_right,Right Inferior Temporal Gyrus,R. Inf. Temp. Gyrus
108,MIDDLE_TEMPORAL_GYRUS_right,Right Middle Temporal Gyrus,R. Mid. Temp. Gyrus
109,LATERAL_FRONTO-ORBITAL_GYRUS_right,Right Lateral Fronto-orbital Gyrus,R. Lat. Forb. Gyrus
110,MIDDLE_FRONTO-ORBITAL_GYRUS_right,Right Middle Fronto-orbital Gyrus,R. Mid. Forb. Gyrus
111,SUPRAMARGINAL_GYRUS_right,Right Supramarginal Gyrus,R. Supramarginal Gyrus
112,GYRUS_RECTUS_right,Right Gyrus Rectus,R. Gyrus Rectus
113,INSULAR_right,Right Insular,R. Insular
114,AMYGDALA_right,Right Amygdala,R. Amygdala
115,HIPPOCAMPUS_right,Right Hippocampus,R. Hippocampus
116,CEREBELLUM_right,Right Cerebellum,R. Cerebellum
117,Corticospinal_tract_right,Right Corticospinal Tract,R. Corticospinal Tract
118,Inferior_cerebellar_peduncle_right,Right Inferior Cerebellar Peduncle,R. Inf. Cerebellar Peduncle
119,Medial_lemniscus_right,Right Medial Lemniscus,R. Med. Lemniscus
120,Superior_cerebellar_peduncle_right,Right Superior Cerebellar Peduncle,R. Sup. Cerebellar Peduncle
121,Cerebral_peduncle_right,Right Cerebral Peduncle,R. Cerebral Peduncle
122,Anterior_limb_of_internal_capsule_right,Right Anterior Limb of Internal Capsule,R. Ant. Limb  Int. Capsule
123,Posterior_limb_of_internal_capsule_right,Right Posterior Limb of Internal Capsule,R. Post. Limb  Int. Capsule
124,Posterior_thalamic_radiation_right,Right Posterior Thalamic Radiation,R. Post. Thalamic Radiation
125,Anterior_corona_radiata_right,Right Anterior Corona Radiata,R. Ant. Corona Radiata
126,Superior_corona_radiata_right,Right Superior Corona Radiata,R. Sup. Corona Radiata
127,Posterior_corona_radiata_right,Right Posterior Corona Radiata,R. Post. Corona Radiata
128,Cingulum_(cingulate_gyrus)_right,Right Cingulum (Cingulate Gyrus),R. Cing. (Cingulate Gyrus)
129,Cingulum_(hippocampus)_right,Right Cingulum (Hippocampus),R. Cing. (Hippocampus)
130,Fornix(cres)_Stria_terminalis_right,Right Fornix(cres) Stria Terminalis,R. Fornix(cres) ST
131,Superior_longitudinal_fasciculus_right,Right Superior Longitudinal Fasciculus,R. Sup. Long. Fasciculus
132,Superior_fronto-occipital_fasciculus_right,Right Superior Fronto-occipital Fasciculus,R. Sup. Focc. Fasciculus
133,Inferior_fronto-occipital_fasciculus_right,Right Inferior Fronto-occipital Fasciculus,R. Inf. Focc. Fasciculus
134,Sagittal_stratum_right,Right Sagittal Stratum,R. Sagittal Stratum
135,External_capsule_right,Right External Capsule,R. External Capsule
136,Uncinate_fasciculus_right,Right Uncinate Fasciculus,R. Uncinate Fasciculus
137,Pontine_crossing_tract_right,Right Pontine Crossing Tract,R. Pontine Crossing Tract
138,Middle_cerebellar_peduncle_right,Right Middle Cerebellar Peduncle,R. Mid. Cerebellar Peduncle
139,Fornix_right,Right Fornix,R. Fornix
140,Genu_of_corpus_callosum_right,Right Genu of Corpus Callosum,R. Genu  CC
141,Body_of_corpus_callosum_right,Right Body of Corpus Callosum,R. Body  CC
142,Splenium_of_corpus_callosum_right,Right Splenium of Corpus Callosum,R. Splenium  CC
143,Retrolenticular_part_of_internal_capsule_right,Right Retrolenticular Part of Internal Capsule,R. Rl. Pt.  Int. Capsule
144,Red_Nucleus_right,Right Red Nucleus,R. Red Nucleus
145,Substancia_Nigra_right,Right Substancia Nigra,R. Substancia Nigra
146,Tapatum_right,Right Tapatum,R. Tapatum
147,CAUDATE_NUCLEUS_right,Right Caudate Nucleus,R. Caudate Nucleus
148,PUTAMEN_right,Right Putamen,R. Putamen
149,THALAMUS_right,Right Thalamus,R. Thalamus
150,GLOBUS_PALLIDUS_right,Right Globus Pallidus,R. Globus Pallidus
151,MIDBRAIN_right,Right Midbrain,R. Midbrain
152,PONS_right,Right Pons,R. Pons
153,MEDULLA_right,Right Medulla,R. Medulla
154,SUPERIOR_PARIETAL_WM_right,Right Superior Parietal WM,R. Sup. Parietal WM
155,Cingulum_WM_right,Right Cingulum WM,R. Cing. WM
156,SUPERIOR_FRONTAL_WM_right,Right Superior Frontal WM,R. Sup. Front. WM
157,MIDDLE_FRONTAL_WM_right,Right Middle Frontal WM,R. Mid. Front. WM
158,INFERIOR_FRONTAL_WM_right,Right Inferior Frontal WM,R. Inf. Front. WM
159,PRECENTRAL_WM_right,Right Precentral WM,R. Precentral WM
160,POSTCENTRAL_WM_right,Right Postcentral WM,R. Postcent. WM
161,ANGULAR_WM_right,Right Angular WM,R. Angular WM
162,PRE-CUNEUS_WM_right,Right Precuneus WM,R. Precuneus WM
163,CUNEUS_WM_right,Right Cuneus WM,R. Cuneus WM
164,LINGUAL_WM_right,Right Lingual WM,R. Lingual WM
165,FUSIFORM_WM_right,Right Fusiform WM,R. Fusiform WM
166,SUPERIOR_OCCIPITAL_WM_right,Right Superior Occipital WM,R. Sup. Occipital WM
167,INFERIOR_OCCIPITAL_WM_right,Right Inferior Occipital WM,R. Inf. Occipital WM
168,MIDDLE_OCCIPITAL_WM_right,Right Middle Occipital WM,R. Mid. Occipital WM
169,SUPERIOR_TEMPORAL_WM_right,Right Superior Temporal WM,R. Sup. Temp. WM
170,INFERIOR_TEMPORAL_WM_right,Right Inferior Temporal WM,R. Inf. Temp. WM
171,MIDDLE_TEMPORAL_WM_right,Right Middle Temporal WM,R. Mid. Temp. WM
172,LATERAL_FRONTO-ORBITAL_WM_right,Right Lateral Fronto-orbital WM,R. Lat. Forb. WM
173,MIDDLE_FRONTO-ORBITAL_WM_right,Right Middle Fronto-orbital WM,R. Mid. Forb. WM
174,SUPRAMARGINAL_WM_right,Right Supramarginal WM,R. Supramarginal WM
175,RECTUS_WM_right,Right Rectus WM,R. Rectus WM
176,CEREBELLUM_WM_right,Right Cerebellum WM,R. Cerebellum WM
